year,cbsa,GEO_ID,CONTROL,LAG_2,LAG_1,TARGET,REMOTE_x,REMOTE_PPL_x,Computer_x,WirelessDevice_x,Cellular_x,CableFiber_x,SatelliteInternet_x,dist_to_cbd_x,covid,REMOTE_y,REMOTE_PPL_y,Computer_y,WirelessDevice_y,Cellular_y,CableFiber_y,SatelliteInternet_y,dist_to_cbd_y,REMOTE,REMOTE_PPL,Computer,WirelessDevice,Cellular,CableFiber,SatelliteInternet,dist_to_cbd
2019,14460,2108.0,SCP_PPL1Y,0.3831775700934579,0.3333333333333333,0.4142857142857142,0.615717860699547,408,0.942,0.066,0.774,0.883,0.047,6.393519561537347,0,0.615717860699547,408,0.942,0.066,0.774,0.883,0.047,6.393519561537347,0.615717860699547,408,0.942,0.066,0.774,0.883,0.047,6.393519561537347
2020,14460,2108.0,SCP_PPL1Y,0.3333333333333333,0.4142857142857142,0.2627118644067796,0.6030643917027447,344,0.935,0.078,0.885,0.894,0.043,6.393519561537347,1,0.6030643917027447,344,0.935,0.078,0.885,0.894,0.043,6.393519561537347,0.6030643917027447,344,0.935,0.078,0.885,0.894,0.043,6.393519561537347
2021,14460,2108.0,SCP_PPL1Y,0.4142857142857142,0.2627118644067796,0.2600896860986547,0.6518560887698414,313,0.934,0.081,0.899,0.861,0.047,6.393519561537347,1,0.6518560887698414,313,0.934,0.081,0.899,0.861,0.047,6.393519561537347,0.6518560887698414,313,0.934,0.081,0.899,0.861,0.047,6.393519561537347
2022,14460,2108.0,SCP_PPL1Y,0.2627118644067796,0.2600896860986547,0.2216981132075471,0.6392534991277813,320,0.934,0.07,0.887,0.8690000000000001,0.068,6.393519561537347,1,0.6392534991277813,320,0.934,0.07,0.887,0.8690000000000001,0.068,6.393519561537347,0.6392534991277813,320,0.934,0.07,0.887,0.8690000000000001,0.068,6.393519561537347
2017,14460,2109.0,SCP_PPL1Y,0.4528301886792452,0.4876543209876544,0.4385964912280701,0.6005370580269731,717,0.938,0.061,0.593,0.865,0.03,7.329017573347043,0,0.6005370580269731,717,0.938,0.061,0.593,0.865,0.03,7.329017573347043,0.6005370580269731,717,0.938,0.061,0.593,0.865,0.03,7.329017573347043
2018,14460,2109.0,SCP_PPL1Y,0.4876543209876544,0.4385964912280701,0.4686648501362397,0.589327759627,742,0.945,0.065,0.695,0.865,0.022,7.329017573347043,0,0.589327759627,742,0.945,0.065,0.695,0.865,0.022,7.329017573347043,0.589327759627,742,0.945,0.065,0.695,0.865,0.022,7.329017573347043
2019,14460,2109.0,SCP_PPL1Y,0.4385964912280701,0.4686648501362397,0.468208092485549,0.5868467801195112,704,0.949,0.0579999999999999,0.7959999999999999,0.898,0.025,7.329017573347043,0,0.5868467801195112,704,0.949,0.0579999999999999,0.7959999999999999,0.898,0.025,7.329017573347043,0.5868467801195112,704,0.949,0.0579999999999999,0.7959999999999999,0.898,0.025,7.329017573347043
2020,14460,2109.0,SCP_PPL1Y,0.4686648501362397,0.468208092485549,0.5613496932515337,0.5605075895163895,542,0.965,0.0819999999999999,0.921,0.853,0.066,7.329017573347043,1,0.5605075895163895,542,0.965,0.0819999999999999,0.921,0.853,0.066,7.329017573347043,0.5605075895163895,542,0.965,0.0819999999999999,0.921,0.853,0.066,7.329017573347043
2021,14460,2109.0,SCP_PPL1Y,0.468208092485549,0.5613496932515337,0.5704697986577182,0.5545171088242696,596,0.971,0.075,0.932,0.8340000000000001,0.067,7.329017573347043,1,0.5545171088242696,596,0.971,0.075,0.932,0.8340000000000001,0.067,7.329017573347043,0.5545171088242696,596,0.971,0.075,0.932,0.8340000000000001,0.067,7.329017573347043
2022,14460,2109.0,SCP_PPL1Y,0.5613496932515337,0.5704697986577182,0.5954415954415954,0.5579372382900901,449,0.958,0.078,0.954,0.8640000000000001,0.065,7.329017573347043,1,0.5579372382900901,449,0.958,0.078,0.954,0.8640000000000001,0.065,7.329017573347043,0.5579372382900901,449,0.958,0.078,0.954,0.8640000000000001,0.065,7.329017573347043
2017,14460,2111.0,SCP_PPL1Y,0.5228426395939086,0.4630541871921182,0.4780487804878049,0.4450194084324324,480,0.779,0.069,0.54,0.755,0.023,6.191759462429592,0,0.4450194084324324,480,0.779,0.069,0.54,0.755,0.023,6.191759462429592,0.4450194084324324,480,0.779,0.069,0.54,0.755,0.023,6.191759462429592
2018,14460,2111.0,SCP_PPL1Y,0.4630541871921182,0.4780487804878049,0.3941908713692946,0.4630375651650728,517,0.755,0.061,0.62,0.752,0.031,6.191759462429592,0,0.4630375651650728,517,0.755,0.061,0.62,0.752,0.031,6.191759462429592,0.4630375651650728,517,0.755,0.061,0.62,0.752,0.031,6.191759462429592
2019,14460,2111.0,SCP_PPL1Y,0.4780487804878049,0.3941908713692946,0.3375527426160337,0.462064164309388,634,0.7809999999999999,0.067,0.735,0.7829999999999999,0.035,6.191759462429592,0,0.462064164309388,634,0.7809999999999999,0.067,0.735,0.7829999999999999,0.035,6.191759462429592,0.462064164309388,634,0.7809999999999999,0.067,0.735,0.7829999999999999,0.035,6.191759462429592
2020,14460,2111.0,SCP_PPL1Y,0.3941908713692946,0.3375527426160337,0.3562231759656653,0.4935555223056842,496,0.7859999999999999,0.059,0.866,0.823,0.036,6.191759462429592,1,0.4935555223056842,496,0.7859999999999999,0.059,0.866,0.823,0.036,6.191759462429592,0.4935555223056842,496,0.7859999999999999,0.059,0.866,0.823,0.036,6.191759462429592
2021,14460,2111.0,SCP_PPL1Y,0.3375527426160337,0.3562231759656653,0.3464566929133858,0.5106941488053204,503,0.81,0.066,0.8809999999999999,0.8270000000000001,0.04,6.191759462429592,1,0.5106941488053204,503,0.81,0.066,0.8809999999999999,0.8270000000000001,0.04,6.191759462429592,0.5106941488053204,503,0.81,0.066,0.8809999999999999,0.8270000000000001,0.04,6.191759462429592
2022,14460,2111.0,SCP_PPL1Y,0.3562231759656653,0.3464566929133858,0.3373493975903615,0.5102353530353747,445,0.8340000000000001,0.06,0.908,0.851,0.05,6.191759462429592,1,0.5102353530353747,445,0.8340000000000001,0.06,0.908,0.851,0.05,6.191759462429592,0.5102353530353747,445,0.8340000000000001,0.06,0.908,0.851,0.05,6.191759462429592
2017,14460,2113.0,SCP_PPL1Y,0.4049079754601227,0.4530744336569579,0.4735099337748344,0.5511588095590451,1284,0.861,0.047,0.5,0.845,0.008,7.0868003380385085,0,0.5511588095590451,1284,0.861,0.047,0.5,0.845,0.008,7.0868003380385085,0.5511588095590451,1284,0.861,0.047,0.5,0.845,0.008,7.0868003380385085
2018,14460,2113.0,SCP_PPL1Y,0.4530744336569579,0.4735099337748344,0.5236486486486486,0.5625890146855477,1431,0.873,0.051,0.61,0.858,0.0139999999999999,7.0868003380385085,0,0.5625890146855477,1431,0.873,0.051,0.61,0.858,0.0139999999999999,7.0868003380385085,0.5625890146855477,1431,0.873,0.051,0.61,0.858,0.0139999999999999,7.0868003380385085
2019,14460,2113.0,SCP_PPL1Y,0.4735099337748344,0.5236486486486486,0.551948051948052,0.5499205304374338,1408,0.904,0.047,0.725,0.8959999999999999,0.027,7.0868003380385085,0,0.5499205304374338,1408,0.904,0.047,0.725,0.8959999999999999,0.027,7.0868003380385085,0.5499205304374338,1408,0.904,0.047,0.725,0.8959999999999999,0.027,7.0868003380385085
2020,14460,2113.0,SCP_PPL1Y,0.5236486486486486,0.551948051948052,0.4848484848484848,0.5711926692763213,1476,0.907,0.054,0.897,0.897,0.071,7.0868003380385085,1,0.5711926692763213,1476,0.907,0.054,0.897,0.897,0.071,7.0868003380385085,0.5711926692763213,1476,0.907,0.054,0.897,0.897,0.071,7.0868003380385085
2021,14460,2113.0,SCP_PPL1Y,0.551948051948052,0.4848484848484848,0.4393063583815028,0.5747024745679361,1020,0.918,0.062,0.906,0.889,0.085,7.0868003380385085,1,0.5747024745679361,1020,0.918,0.062,0.906,0.889,0.085,7.0868003380385085,0.5747024745679361,1020,0.918,0.062,0.906,0.889,0.085,7.0868003380385085
